date,ci,weather_dummy,wind,aqi,life_impact,is_holiday_near,is_holiday_mid,is_nonwork_weekend,is_holiday_day_or_window,is_bad_weather,is_aqi_high,test_fold_1,test_fold_2,test_fold_3,test_fold_4,test_fold_5,test_fold_6,test_fold_7,test_fold_8,test_fold_9,test_fold_10,ci_lag1,ci_lag2,ci_lag3,ci_lag7,ci_lag8,ci_lag14,ci_lag21,ci_lag28,ci_roll3_prev_mean,ci_roll7_prev_mean,ci_roll14_prev_mean,ci_roll7_prev_std,ci_diff1_lag1,ci_diff7_lag1,dow,month,dow_sin,dow_cos,doy_sin,doy_cos
2021-08-05,26.44734238010257,2,3,31,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,26.67344198782702,20.54874754626089,26.090461238746663,10.764577193448828,19.66365878045474,13.06071579509302,17.317561098155917,18.730964466054264,24.43755025761151,18.785630612937037,17.414407440795337,7.379534032648712,6.1246944415661275,7.00978320737228,3.0,8.0,0.43388373911755823,-0.900968867902419,-0.5575320729985326,-0.8301553996559674
2021-08-06,18.01944873849844,2,2,30,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,26.44734238010257,26.67344198782702,20.54874754626089,10.262525875724874,10.764577193448828,15.830395874936926,21.793231453790256,12.177980562084803,24.556510638063475,21.02602563960186,18.370595054010302,6.973742568576669,-0.22609960772444992,15.682765186653741,4.0,8.0,-0.433883739117558,-0.9009688679024191,-0.571729852172239,-0.8204419395271731
2021-08-07,10.852567223199038,2,2,26,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,18.01944873849844,26.44734238010257,26.67344198782702,10.65989847661625,10.262525875724874,13.938743962505349,13.648457098959044,10.507614212664588,23.713411035475996,22.13415747714094,18.526955972836127,5.669750337148152,-8.427893641604129,7.756922862773566,5.0,8.0,-0.9749279121818236,-0.2225209339563146,-0.5857584403363858,-0.8104856874582578
2021-08-08,15.680465143783213,2,2,39,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10.852567223199038,18.01944873849844,26.44734238010257,26.499761971934728,10.65989847661625,12.311222606893786,16.382406273315528,16.84637315275413,18.439786113933334,22.161681583795623,18.30651477717139,5.614176421101014,-7.166881515299401,0.19266874658278788,6.0,8.0,-0.7818314824680299,0.6234898018587334,-0.5996136860355509,-0.800289589785385
2021-08-09,11.687803886730135,2,2,42,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,15.680465143783213,10.852567223199038,18.01944873849844,26.090461238746663,26.499761971934728,18.08850352748556,11.880526121765104,13.155926890806429,14.850827035160217,20.616067751202547,18.547174958377777,5.6958331694887425,4.827897920584174,-10.819296828151515,0.0,8.0,0.0,1.0,-0.6132914891112445,-0.7898566638218052
2021-08-10,14.942846597953263,2,2,41,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11.687803886730135,15.680465143783213,10.852567223199038,20.54874754626089,26.090461238746663,19.409049333206063,19.259118602052343,15.85895920365096,12.740278751237447,18.558545272343046,18.089982126895247,5.9426873284090425,-3.9926612570530775,-14.402657352016528,1.0,8.0,0.7818314824680298,0.6234898018587336,-0.6267878019152604,-0.7791899969649484
2021-08-11,11.354672030112797,2,2,31,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,14.942846597953263,11.687803886730135,15.680465143783213,26.67344198782702,20.54874754626089,19.66365878045474,15.83986349531848,25.20537247294052,14.103705209488856,17.757702279727667,17.77096764580576,5.997995547368463,3.255042711223128,-5.605900948307628,2.0,8.0,0.9749279121818236,-0.22252093395631434,-0.6400986305074876,-0.768292745782777
2021-08-12,8.223350253389679,2,3,29,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11.354672030112797,14.942846597953263,11.687803886730135,26.44734238010257,26.67344198782702,10.764577193448828,13.06071579509302,17.317561098155917,12.661774171598717,15.569306571482779,17.17746859220991,5.068340183469731,-3.5881745678404666,-15.318769957714222,3.0,8.0,0.43388373911755823,-0.900968867902419,-0.6532200358378337,-0.757168135079666
2021-08-13,8.527918781293,2,2,31,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.223350253389679,11.354672030112797,14.942846597953263,18.01944873849844,26.44734238010257,10.262525875724874,15.830395874936926,21.793231453790256,11.506956293818567,12.96587912480951,16.995952382205683,3.116845369249806,-3.1313217767231176,-18.22399212671289,4.0,8.0,-0.433883739117558,-0.9009688679024191,-0.6661481349118972,-0.7458194569420945
2021-08-14,15.440190850081336,2,2,27,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,8.527918781293,8.223350253389679,11.354672030112797,10.852567223199038,18.01944873849844,10.65989847661625,13.938743962505349,13.648457098959044,9.368647021598477,11.609946273780162,16.87205187546055,2.653572370689879,0.3045685279033208,-9.49152995720544,5.0,8.0,-0.9749279121818236,-0.2225209339563146,-0.6788791019400585,-0.7342500697644226
2021-08-15,9.746192892906285,2,2,24,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,15.440190850081336,8.527918781293,8.223350253389679,15.680465143783213,10.852567223199038,26.499761971934728,12.311222606893786,16.382406273315528,10.730486628254658,12.265321077620488,17.213501330708056,2.9369727329558737,6.9122720687883366,4.587623626882298,6.0,8.0,-0.7818314824680299,0.6234898018587334,-0.6914091694696364,-0.7224633972550496
2021-08-16,15.221258819130284,2,2,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9.746192892906285,15.440190850081336,8.527918781293,11.687803886730135,15.680465143783213,26.090461238746663,18.08850352748556,11.880526121765104,11.238100841426858,11.417567898923787,16.016817825063168,2.6734851917441786,-5.693997957175052,-5.934272250876928,0.0,8.0,0.0,1.0,-0.703734629499786,-0.7104629274232391
2021-08-17,22.678427197976,2,2,22,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,15.221258819130284,9.746192892906285,15.440190850081336,14.942846597953263,11.687803886730135,20.54874754626089,19.409049333206063,19.259118602052343,13.469214187372621,11.92234717498095,15.240446223661996,2.991513802120095,5.475065926224,3.533454932400149,1.0,8.0,0.7818314824680298,0.6234898018587336,-0.715851834578799,-0.6982522115469223
2021-08-18,22.03120570388399,1,2,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.678427197976,15.221258819130284,9.746192892906285,11.354672030112797,14.942846597953263,26.67344198782702,19.66365878045474,15.83986349531848,15.881959636670842,13.02743011784134,15.392566198784504,4.790846425671917,7.457168378845715,7.735580600022736,2.0,8.0,0.9749279121818236,-0.22252093395631434,-0.7277571988834893,-0.6858348631217702
2021-08-19,23.746717089245763,1,2,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.03120570388399,22.678427197976,15.221258819130284,8.223350253389679,11.354672030112797,26.44734238010257,10.764577193448828,13.06071579509302,19.976963906996744,14.55264921409437,15.060977892788571,5.639798229209261,-0.6472214940920082,10.676533673771194,3.0,8.0,0.43388373911755823,-0.900968867902419,-0.7394471992803373,-0.6732145567918634
2021-08-20,16.449054040314923,1,2,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23.746717089245763,22.03120570388399,22.678427197976,8.527918781293,8.223350253389679,18.01944873849844,10.262525875724874,15.830395874936926,22.81878333036857,16.770273047788095,14.868076086298801,5.765626455219492,1.715511385361772,15.523366835856084,4.0,8.0,-0.433883739117558,-0.9009688679024191,-0.7509183763680874,-0.6603950272622556
2021-08-21,16.29441624282769,2,2,31,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,16.449054040314923,23.746717089245763,22.03120570388399,15.440190850081336,8.527918781293,10.852567223199038,10.65989847661625,13.938743962505349,20.742325611148214,17.901863799076942,14.755905036428553,4.719268002340759,-7.29766304893084,7.9211352590219235,5.0,8.0,-0.9749279121818236,-0.2225209339563146,-0.76216733550148,-0.6473800681937733
2021-08-22,19.644670049764223,1,2,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16.29441624282769,16.449054040314923,23.746717089245763,9.746192892906285,15.440190850081336,15.680465143783213,26.499761971934728,12.311222606893786,18.830062457462777,18.023895998040704,15.144608537830596,4.664765256390702,-0.15463779748723283,0.8542253927463541,6.0,8.0,-0.7818314824680299,0.6234898018587334,-0.7731907477958236,-0.6341735310803621
2021-08-23,19.644670049764223,1,2,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.644670049764223,16.29441624282769,16.449054040314923,15.221258819130284,9.746192892906285,11.687803886730135,26.090461238746663,18.08850352748556,17.462713444302263,19.437964163306123,15.427766031114954,3.2166900174486117,3.350253806936532,9.898477156857938,0.0,8.0,0.0,1.0,-0.7839853511121072,-0.6207793241093215
2021-08-24,22.48570496294103,1,3,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.644670049764223,19.644670049764223,16.29441624282769,22.678427197976,15.221258819130284,14.942846597953263,20.54874754626089,19.409049333206063,18.527918780785363,20.069880053396684,15.996113614188816,2.7228284190558316,0.0,4.423411230633938,1.0,8.0,0.7818314824680298,0.6234898018587336,-0.7945479510223574,-0.6072014110047618
2021-08-25,18.350227062317835,1,3,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.48570496294103,19.644670049764223,19.644670049764223,22.03120570388399,22.678427197976,11.354672030112797,26.67344198782702,19.66365878045474,20.59168168748981,20.04234830553455,16.534889211687943,2.6971664497983867,2.841034913176806,-0.19272223503497088,2.0,8.0,0.9749279121818236,-0.22252093395631434,-0.8048754217549614,-0.5934438098546255
2021-08-26,24.02036875563712,1,3,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.350227062317835,22.48570496294103,19.644670049764223,23.746717089245763,22.03120570388399,8.223350253389679,26.44734238010257,10.764577193448828,20.160200691674348,19.516494213882243,17.034571713988303,2.6157493019960762,-4.135477900623194,-3.6809786415661563,3.0,8.0,0.43388373911755823,-0.900968867902419,-0.8149647071196691,-0.5795105919216249
2021-08-27,24.665183227741394,1,3,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.02036875563712,18.350227062317835,22.48570496294103,16.449054040314923,23.746717089245763,8.527918781293,18.01944873849844,10.262525875724874,21.61876692696531,19.555587309081005,18.16293017843455,2.679936387790469,5.670141693319284,0.2736516663913555,4.0,8.0,-0.433883739117558,-0.9009688679024191,-0.8248128214120084,-0.5654058804384355
